"","x_","y_","t_","dt"
"261",535117.203182072,-166566.139548854,2012-11-08 13:00:00,1H 0M 0S
"262",535661.381733148,-167115.662853996,2012-11-08 14:00:00,1H 0M 0S
"263",535692.636077526,-166998.402479933,2012-11-08 15:00:00,1H 0M 0S
"264",535642.529393166,-166997.45058722,2012-11-08 16:00:00,1H 0M 0S
"265",535668.111461708,-167008.969924361,2012-11-08 17:00:00,1H 0M 0S
"266",536116.852597806,-168995.383079882,2012-11-08 18:00:00,1H 0M 0S
"267",536105.063738064,-168993.391086996,2012-11-08 19:00:00,1H 0M 0S
"268",526932.90064585,-165724.77107793,2012-11-08 20:00:00,1H 0M 0S
"269",527121.968121628,-163834.566390998,2012-11-08 21:00:00,1H 0M 0S
"270",532389.708131491,-144635.355340531,2012-11-08 22:00:00,1H 0M 0S
"271",532085.115039781,-144585.391762253,2012-11-08 23:00:00,1H 0M 0S
"272",532126.497292111,-144560.802575899,2012-11-09 00:00:00,1H 0M 0S
"273",531798.270555027,-144620.937490837,2012-11-09 01:00:00,1H 0M 0S
"274",532150.637872507,-144541.141079681,2012-11-09 02:00:00,1H 0M 0S
"275",532167.046005723,-144497.244674863,2012-11-09 03:00:00,1H 0M 0S
"276",532207.020323265,-144490.361755445,2012-11-09 04:00:00,1H 0M 0S
"277",537671.073342421,-145218.62865849,2012-11-09 05:00:00,1H 0M 0S
"278",538420.979911311,-144793.686901023,2012-11-09 06:00:00,1H 0M 0S
"279",538516.669132833,-144776.853377126,2012-11-09 07:00:00,1H 0M 0S
"280",539516.065513623,-146132.253058785,2012-11-09 08:00:00,1H 0M 0S
"281",539716.37761437,-145476.165193644,2012-11-09 09:00:00,1H 0M 0S
"282",539641.455574766,-144637.815344586,2012-11-09 10:00:00,1H 0M 0S
"283",539612.917115537,-144632.924014041,2012-11-09 11:00:00,1H 0M 0S
"284",535031.603260915,-140796.403245004,2012-11-09 12:00:00,1H 0M 0S
"285",535025.055056021,-140799.14576845,2012-11-09 13:00:00,1H 0M 0S
"286",536364.548079717,-142465.444219323,2012-11-09 14:00:00,1H 0M 0S
"287",536502.736771006,-142446.679845323,2012-11-09 15:00:00,1H 0M 0S
"288",538871.298081697,-143035.716904756,2012-11-09 16:00:00,1H 0M 0S
"289",539603.653864259,-142521.313008777,2012-11-09 17:00:00,1H 0M 0S
"290",541975.209424826,-139505.786387146,2012-11-09 18:00:00,1H 0M 0S
"291",541974.930870139,-139504.956865534,2012-11-09 19:00:00,1H 0M 0S
"292",541926.710646352,-139427.286650618,2012-11-09 20:00:00,1H 0M 0S
"293",541892.721680272,-139131.561962805,2012-11-09 21:00:00,1H 0M 0S
"294",539216.372707708,-137888.400779392,2012-11-09 22:00:00,1H 0M 0S
"295",542613.526987393,-141324.651353858,2012-11-09 23:00:00,1H 0M 0S
"296",542632.814320709,-141317.688622367,2012-11-10 00:00:00,1H 0M 0S
"297",542859.06437576,-141281.881434546,2012-11-10 01:00:00,1H 0M 0S
"298",542882.441032166,-141249.579519067,2012-11-10 02:00:00,1H 0M 0S
"299",542879.451584591,-141245.335841995,2012-11-10 03:00:00,1H 0M 0S
"300",542879.356726645,-141244.689209517,2012-11-10 04:00:00,1H 0M 0S
"301",542885.849979344,-141231.198121961,2012-11-10 05:00:00,1H 0M 0S
"302",541667.793731938,-139892.065344185,2012-11-10 06:00:00,1H 0M 0S
"303",541010.656445936,-139879.96322731,2012-11-10 07:00:00,1H 0M 0S
"304",537348.739747797,-139879.099163596,2012-11-10 08:00:00,1H 0M 0S
"305",537351.181609056,-139792.221553774,2012-11-10 09:00:00,1H 0M 0S
"306",537631.551150345,-129677.210658634,2012-11-10 10:00:00,1H 0M 0S
"307",537661.808788006,-129623.003502035,2012-11-10 11:00:00,1H 0M 0S
"308",537814.293026433,-129522.683902564,2012-11-10 12:00:00,1H 0M 0S
"309",537890.030040907,-128880.454839272,2012-11-10 13:00:00,1H 0M 0S
"310",539120.065175255,-128826.738692219,2012-11-10 14:00:00,1H 0M 0S
"311",538900.452786811,-126723.707430428,2012-11-10 15:00:00,1H 0M 0S
"312",538870.403694395,-126763.009023757,2012-11-10 16:00:00,1H 0M 0S
"313",538748.98416601,-126748.711727616,2012-11-10 17:00:00,1H 0M 0S
"314",538750.107377438,-126767.55689188,2012-11-10 18:00:00,1H 0M 0S
"315",537064.702579523,-125776.97517808,2012-11-10 19:00:00,1H 0M 0S
"316",540436.437764635,-122205.487350582,2012-11-10 20:00:00,1H 0M 0S
"317",540436.427287334,-122205.695708483,2012-11-10 21:00:00,1H 0M 0S
"318",534240.504867078,-127183.324660516,2012-11-10 22:00:00,1H 0M 0S
"319",534298.79476382,-127251.5875606,2012-11-10 23:00:00,1H 0M 0S
"320",534328.157956721,-127319.712462097,2012-11-11 00:00:00,1H 0M 0S
"321",534506.806359671,-128577.43733562,2012-11-11 01:00:00,1H 0M 0S
"322",534517.832750058,-128556.351319849,2012-11-11 02:00:00,1H 0M 0S
"323",534913.689054793,-128322.648588308,2012-11-11 03:00:00,1H 0M 0S
"324",534987.786167388,-128261.669640916,2012-11-11 04:00:00,1H 0M 0S
"325",536060.302337216,-128791.240783091,2012-11-11 05:00:00,1H 0M 0S
"326",536248.161937777,-128794.610418634,2012-11-11 06:00:00,1H 0M 0S
"327",539268.230205256,-125460.180864536,2012-11-11 07:00:00,1H 0M 0S
"328",534721.160723298,-116545.947709454,2012-11-11 08:00:00,1H 0M 0S
"329",528460.270628559,-121503.67845905,2012-11-11 09:00:00,1H 0M 0S
"330",529552.066944338,-123690.878623673,2012-11-11 10:00:00,1H 0M 0S
"331",531450.573988813,-124095.307127511,2012-11-11 11:00:00,1H 0M 0S
"332",531697.473338004,-124810.62140662,2012-11-11 12:00:00,1H 0M 0S
"333",541671.609402036,-122255.779073978,2012-11-11 13:00:00,1H 0M 0S
"334",541702.608279701,-122260.341834044,2012-11-11 14:00:00,1H 0M 0S
"335",542491.855596164,-124227.265658526,2012-11-11 15:00:00,1H 0M 0S
"336",542485.708162925,-124228.575917795,2012-11-11 16:00:00,1H 0M 0S
"337",542421.994553951,-124275.513561465,2012-11-11 17:00:00,1H 0M 0S
"338",543250.015157141,-124630.493660475,2012-11-11 18:00:00,1H 0M 0S
"339",543106.023929221,-124722.316967137,2012-11-11 19:00:00,1H 0M 0S
"340",543105.244123766,-124722.176377336,2012-11-11 20:00:00,1H 0M 0S
"341",543098.774695202,-124724.910647011,2012-11-11 21:00:00,1H 0M 0S
"342",543099.763505478,-124725.234498045,2012-11-11 22:00:00,1H 0M 0S
"343",543048.901850256,-124610.717635128,2012-11-11 23:00:00,1H 0M 0S
"344",541829.904210552,-125352.215853356,2012-11-12 00:00:00,1H 0M 0S
"345",541582.668687848,-125921.806078553,2012-11-12 01:00:00,1H 0M 0S
"346",541579.876706195,-125920.66654329,2012-11-12 02:00:00,1H 0M 0S
"347",541553.563742663,-125880.85676437,2012-11-12 03:00:00,1H 0M 0S
"348",541587.164159023,-125859.635303713,2012-11-12 04:00:00,1H 0M 0S
